OBJECTID,School Name,District,School Type,Agency Type,Grade Range,Lowest Grade,Highest Grade,School Style,Charter?,Virtual?,CESA,District ID,School Code,DPI Unique Join Code,NCES Code,NCES District Code,NCES School Code,Full Address,Physical Street Address,City,State,ZIP Code,County of District Office,Locale Code,Locale,School Website,Wisconsin Assembly District,Wisconsin Senate District,US Congressional District,County (Physical),Latitude,Longitude,x,y
1,21st Century Preparatory School,Racine Charter One Inc,Elementary School,Non District Charter Schools,K4-08,K4,08,Regular,Yes,No,1,8010,8110,S80108110,550004502575,5500045,02575,"1220 Mound Ave  Racine, WI 53404",1220 Mound Ave,Racine,WI,53404,Racine,13,City - Small,https://www.21stprepschool.org,62,21,1,Racine,42.72913124,-87.79616195,700421.8469,253091.0407
2,4K Center for Literacy,Kimberly Area,Elementary School,Public school,PK-K4,K4,K4,Regular,No,No,6,2835,0150,S28350150,550747003029,5507470,03029,"614 E Kimberly Ave  Kimberly, WI 54136-1513",614 E Kimberly Ave,Kimberly,WI,54136-1513,Outagamie,22,Suburb - Midsize,https://www.kimberly.k12.wi.us,2,1,8,Outagamie,44.27292342,-88.32776088,653454.6917,423546.2786
3,4K Community-Based,Reedsburg,Elementary School,Public school,K4-K4,K4,K4,Regular,No,No,5,4753,0150,S47530150,551266002889,5512660,02889,"401 Alexander Ave  Reedsburg, WI 53959-1592",401 Alexander Ave,Reedsburg,WI,53959-1592,Sauk,32,Town - Distant,https://www.rsd.k12.wi.us,41,14,2,Sauk,43.52963074,-90.02458858,518013.1248,339632.4153
4,4K McFarland,McFarland,Elementary School,Public school,K4-K4,K4,K4,Regular,No,No,2,3381,0150,S33810150,550891002902,5508910,02902,"6009 Johnson St  McFarland, WI 53558",6009 Johnson St,McFarland,WI,53558,Dane,21,Suburb - Large,https://www.mcfarland.k12.wi.us,47,16,2,Dane,43.01111813,-89.2886024,577974.4956,282294.9641
5,4K PK Off Site,Madison Metropolitan,Elementary School,Public school,PK-K4,K4,K4,Regular,No,No,2,3269,0190,S32690190,550852002475,5508520,02475,"545 W Dayton St  Madison, WI 53703",545 W Dayton St,Madison,WI,53703,Dane,11,City - Large,https://www.madison.k12.wi.us,77,26,2,Dane,43.07056204,-89.39503924,569252.9551,288828.210200001
6,Abbotsford Elementary,Abbotsford,Elementary School,Public school,PK-05,K4,05,Regular,No,No,10,0007,0020,S00070020,550003000001,5500030,00001,"510 W Hemlock St  Abbotsford, WI 54405",510 W Hemlock St,Abbotsford,WI,54405,Clark,43,Rural - Remote,https://www.abbotsford.k12.wi.us,69,23,7,Clark,44.94999126,-90.3312047,493873.3056,497448.4376
7,Abbotsford Middle/Senior High,Abbotsford,High School,Public school,06-12,06,12,Regular,No,No,10,0007,0040,S00070040,550003000002,5500030,00002,"307 N 4th Ave  Abbotsford, WI 54405",307 N 4th Ave,Abbotsford,WI,54405,Clark,43,Rural - Remote,https://www.abbotsford.k12.wi.us,69,23,7,Clark,44.94999126,-90.3312047,493873.3056,497448.4376
8,Abraham Lincoln Elementary,Monroe,Elementary School,Public school,PK-05,K4,05,Regular,No,No,2,3682,0010,S36820010,550984002771,5509840,02771,"2625 14th Avenue  Monroe, WI 53566-3373",2625 14th Avenue,Monroe,WI,53566-3373,Green,32,Town - Distant,https://www.monroeschools.com,50,17,2,Green,42.58670086,-89.64288994,549301.7969,234982.0858
9,Abrams Elementary,Oconto Falls Public,Elementary School,Public school,K4-05,K4,05,Regular,No,No,8,4074,0020,S40740020,551095001431,5510950,01431,"3000 Elm St  Abrams, WI 54101",3000 Elm St,Abrams,WI,54101,Oconto,42,Rural - Distant,https://www.ofpanthers.com,4,2,8,Oconto,44.7830591,-88.05544309,673838.3389,480690.770099999
10,Academy of Accelerated Learning,Milwaukee,Elementary School,Public school,PK-05,K4,05,Regular,No,No,1,3619,0316,S36190316,550960001239,5509600,01239,"3727 S 78th St  Milwaukee, WI 53220-1603",3727 S 78th St,Milwaukee,WI,53220-1603,Milwaukee,11,City - Large,https://www.milwaukee.k12.wi.us,61,21,4,Milwaukee,42.97685654,-88.0110754,682177.1515,280164.053300001
12,ACE Alliance Charter Elementary,Neenah Joint,Elementary School,Public school,K4-06,K4,06,Regular,Yes,No,6,3892,0125,S38920125,551032003366,5510320,03366,"920 Higgins Ave  Neenah, WI 54956-3826",920 Higgins Ave,Neenah,WI,54956-3826,Winnebago,13,City - Small,https://www.neenah.k12.wi.us,53,18,6,Winnebago,44.17384857,-88.46179991,642963.6061,412332.4418
13,Adams-Friendship Elementary,Adams-Friendship Area,Elementary School,Public school,PK-04,K4,04,Regular,No,No,5,0014,0130,S00140130,550006001433,5500060,01433,"500 N Pierce St  Adams, WI 53910",500 N Pierce St,Adams,WI,53910,Adams,43,Rural - Remote,https://www.afasd.net,72,24,3,Adams,43.9649966,-89.81055532,535197.4865,388002.5439
14,Adams-Friendship High,Adams-Friendship Area,High School,Public school,09-12,09,12,Regular,No,No,5,0014,0040,S00140040,550006000005,5500060,00005,"1109 E North St  Adams, WI 53910",1109 E North St,Adams,WI,53910,Adams,43,Rural - Remote,https://www.afasd.net,72,24,3,Adams,43.96571419,-89.80226031,535862.7315,388083.8059
15,Adams-Friendship Middle,Adams-Friendship Area,Middle School,Public school,05-08,05,08,Regular,No,No,5,0014,0210,S00140210,550006001454,5500060,01454,"420 N Main St  Adams, WI 53910",420 N Main St,Adams,WI,53910,Adams,43,Rural - Remote,https://www.afasd.net,72,24,3,Adams,43.9636829,-89.81688216,534690.2631,387855.489700001
16,Adams Elementary,Janesville,Elementary School,Public school,PK-05,K4,05,Regular,No,No,2,2695,0020,S26950020,550702000756,5507020,00756,"1138 E Memorial Dr  Janesville, WI 53545-1800",1138 E Memorial Dr,Janesville,WI,53545-1800,Rock,13,City - Small,https://www.janesville.k12.wi.us/ada,44,15,1,Rock,42.69272367,-89.01098924,601013.5006,247167.335200001
17,Addison Elementary,Slinger,Elementary School,Public school,PK-05,K4,05,Regular,No,No,6,5390,0100,S53900100,551395002540,5513950,02540,"5050 Indian Rd  Hartford, WI 53027",5050 Indian Rd,Hartford,WI,53027,Washington,41,Rural - Fringe,https://www.slinger.k12.wi.us,59,20,5,Washington,43.37538975,-88.29782485,657895.0709,323909.520400001
18,Adeline Montessori School Inc,Adeline Montessori School Inc,Combined Elementary/Secondary School,Non District Charter Schools,K4-08,K4,08,Regular,Yes,No,1,8022,8148,S80228148,550008903150,5500089,03150,"995 S Sawyer Rd  Oconomowoc, WI 53066",995 S Sawyer Rd,Oconomowoc,WI,53066,Waukesha,41,Rural - Fringe,https://adelinemotessori.com,97,33,5,Waukesha,43.022016,-88.44401899,646781.2598,284434.334000001
20,Al Behrman Elementary,Baraboo,Elementary School,Public school,K4-05,K4,05,Regular,No,No,5,0280,0180,S02800180,550081000109,5500810,00109,"400 Mulberry St  Baraboo, WI 53913-3012",400 Mulberry St,Baraboo,WI,53913-3012,Sauk,32,Town - Distant,https://www.baraboo.k12.wi.us,40,14,2,Sauk,43.45809745,-89.73846522,541158.2238,331720.9976
21,ALBA - Academia de Lenguaje y Bellas Artes,Milwaukee,Elementary School,Public school,PK-08,K4,08,Regular,Yes,No,1,3619,0162,S36190162,550960003371,5509600,03371,"1712 S 32nd St  Milwaukee, WI 53215-2104",1712 S 32nd St,Milwaukee,WI,53215-2104,Milwaukee,11,City - Large,https://www.milwaukee.k12.wi.us,9,3,4,Milwaukee,43.01194698,-87.95341207,686784.2061,284173.889599999
22,Albany Community Middle,Albany,Middle School,Public school,06-08,06,08,Regular,No,No,2,0063,0060,S00630060,550012002357,5500120,02357,"309 Vinton St  Albany, WI 53502",309 Vinton St,Albany,WI,53502,Green,42,Rural - Distant,https://www.albany.k12.wi.us,50,17,2,Green,42.70700911,-89.43405101,566348.2052,248434.7499
23,Albany Elementary,Albany,Elementary School,Public school,PK-05,K4,05,Regular,No,No,2,0063,0020,S00630020,550012000013,5500120,00013,"309 Vinton St  Albany, WI 53502",309 Vinton St,Albany,WI,53502,Green,42,Rural - Distant,https://www.albany.k12.wi.us,50,17,2,Green,42.70700911,-89.43405101,566348.2052,248434.7499
24,Albany High,Albany,High School,Public school,09-12,09,12,Regular,No,No,2,0063,0040,S00630040,550012000014,5500120,00014,"309 Vinton St  Albany, WI 53502",309 Vinton St,Albany,WI,53502,Green,42,Rural - Distant,https://www.albany.k12.wi.us,50,17,2,Green,42.70700911,-89.43405101,566348.2052,248434.7499
25,Alcott Elementary,Milwaukee,Elementary School,Public school,PK-08,K4,08,Regular,No,No,1,3619,0075,S36190075,550960001121,5509600,01121,"3563 S 97th St  Milwaukee, WI 53228-1416",3563 S 97th St,Milwaukee,WI,53228-1416,Milwaukee,11,City - Large,https://www.milwaukee.k12.wi.us,61,21,4,Milwaukee,42.97945756,-88.03451662,680258.9395,280407.9187
26,Aldo Leopold Community School K-8,Green Bay Area Public,Combined Elementary/Secondary School,Public school,K4-08,K4,08,Regular,No,No,7,2289,0020,S22890020,550582000610,5505820,00610,"622 Eliza St  Green Bay, WI 54301-3229",622 Eliza St,Green Bay,WI,54301-3229,Brown,12,City - Midsize,https://www.gbaps.org,90,30,8,Brown,44.49998065,-88.01799836,677565.3204,449317.593800001
27,Aldrich Intermediate,Beloit,Middle School,Public school,06-08,06,08,Regular,No,No,2,0413,0020,S04130020,550105000137,5501050,00137,"1859 Northgate Dr  Beloit, WI 53511-2699",1859 Northgate Dr,Beloit,WI,53511-2699,Rock,13,City - Small,https://www.sdb.k12.wi.us/aldrich,45,15,1,Rock,42.53550551,-89.01298508,601053.6518,229707.573999999
28,Alexander Middle,Nekoosa,Combined Elementary/Secondary School,Public school,04-08,04,08,Regular,No,No,5,3906,0020,S39060020,551038001358,5510380,01358,"540 Birch St  Nekoosa, WI 54457-1318",540 Birch St,Nekoosa,WI,54457-1318,Wood,32,Town - Distant,https://www.nekoosasd.net,72,24,3,Wood,44.30938772,-89.91671404,526642.5818,426240.1602
29,Algoma Elementary,Algoma,Elementary School,Public school,PK-06,K4,06,Regular,No,No,7,0070,0020,S00700020,550015000015,5500150,00015,"514 Fremont St  Algoma, WI 54201-1395",514 Fremont St,Algoma,WI,54201-1395,Kewaunee,42,Rural - Distant,https://www.algomawolves.org,1,1,8,Kewaunee,44.6061339,-87.44026847,723124.4125,462385.7301
30,Algoma High,Algoma,High School,Public school,07-12,07,12,Regular,No,No,7,0070,0040,S00700040,550015000016,5500150,00016,"1715 Division St  Algoma, WI 54201-1498",1715 Division St,Algoma,WI,54201-1498,Kewaunee,42,Rural - Distant,https://www.algomawolves.org,1,1,8,Kewaunee,44.59716141,-87.44576254,722719.6525,461375.383099999
31,Algoma Venture Academy,Algoma,High School,Public school,07-12,07,12,Regular,Yes,No,7,0070,0400,S00700400,550015003149,5500150,03149,"1715 Division St  Algoma, WI 54201",1715 Division St,Algoma,WI,54201,Kewaunee,42,Rural - Distant,https://www.algomaventureacademy.org,1,1,8,Kewaunee,44.59716141,-87.44576254,722719.6525,461375.383099999
32,All District 4 Year Old Kindergarten,Racine Unified,Elementary School,Public school,PK-K4,K4,K4,Regular,No,No,1,4620,0113,S46200113,551236002657,5512360,02657,"815 De Koven Ave  Racine, WI 53403",815 De Koven Ave,Racine,WI,53403,Racine,13,City - Small,https://www.rusd.org,66,22,1,Racine,42.70709499,-87.78975504,701010.4557,250657.6434
33,Allen-Field Elementary,Milwaukee,Elementary School,Public school,PK-05,K4,05,Regular,No,No,1,3619,0073,S36190073,550960001122,5509600,01122,"730 W Lapham Blvd  Milwaukee, WI 53204-3428",730 W Lapham Blvd,Milwaukee,WI,53204-3428,Milwaukee,11,City - Large,https://www.milwaukee.k12.wi.us,8,3,4,Milwaukee,43.01468193,-87.92045219,689462.7912,284543.622199999
34,Allenton Elementary,Slinger,Elementary School,Public school,K4-05,K4,05,Regular,No,No,6,5390,0010,S53900010,551395001818,5513950,01818,"228 Weis St  Allenton, WI 53002-9570",228 Weis St,Allenton,WI,53002-9570,Washington,42,Rural - Distant,https://www.slinger.k12.wi.us,59,20,5,Washington,43.41649978,-88.33548231,654753.1957,328413.574100001
35,Alliance School of Milwaukee,Milwaukee,High School,Public school,09-12,09,12,Regular,Yes,No,1,3619,0413,S36190413,550960002603,5509600,02603,"850 W Walnut St  Milwaukee, WI 53205",850 W Walnut St,Milwaukee,WI,53205,Milwaukee,11,City - Large,https://www.allianceschool.org,16,6,4,Milwaukee,43.05391805,-87.92248466,689189.291,288896.853499999
36,Alma Elementary,Alma,Elementary School,Public school,PK-08,K4,08,Regular,No,No,4,0084,0020,S00840020,550018000017,5500180,00017,"S1618 State Road 35  Alma, WI 54610-8301",S1618 State Road 35,Alma,WI,54610-8301,Buffalo,43,Rural - Remote,https://www.alma.k12.wi.us,29,10,3,Buffalo,44.36307891,-91.94311983,365164.5599,434036.6395
37,Alma High,Alma,High School,Public school,09-12,09,12,Regular,No,No,4,0084,0040,S00840040,550018000018,5500180,00018,"S1618 State Road 35  Alma, WI 54610-8301",S1618 State Road 35,Alma,WI,54610-8301,Buffalo,43,Rural - Remote,https://www.alma.k12.wi.us,29,10,3,Buffalo,44.36307891,-91.94311983,365164.5599,434036.6395
38,Almond-Bancroft Elementary,Almond-Bancroft,Elementary School,Public school,PK-05,K4,05,Regular,No,No,5,0105,0020,S01050020,550024000023,5500240,00023,"1336 Elm St  Almond, WI 54909",1336 Elm St,Almond,WI,54909,Portage,43,Rural - Remote,https://www.abschools.k12.wi.us,57,19,3,Portage,44.26045493,-89.41302058,566854.2172,420969.1653
39,Almond-Bancroft High,Almond-Bancroft,High School,Public school,09-12,09,12,Regular,No,No,5,0105,0040,S01050040,550024000024,5500240,00024,"1336 Elm St  Almond, WI 54909",1336 Elm St,Almond,WI,54909,Portage,43,Rural - Remote,https://www.abschools.k12.wi.us,57,19,3,Portage,44.26045493,-89.41302058,566854.2172,420969.1653
40,Almond-Bancroft Middle,Almond-Bancroft,Middle School,Public school,06-08,06,08,Regular,No,No,5,0105,0250,S01050250,550024003076,5500240,03076,"1336 Elm St  Almond, WI 54909",1336 Elm St,Almond,WI,54909,Portage,43,Rural - Remote,https://www.abschools.k12.wi.us,57,19,3,Portage,44.26045493,-89.41302058,566854.2172,420969.1653
41,Altoona Elementary,Altoona,Elementary School,Public school,PK-03,K4,03,Regular,No,No,10,0112,0080,S01120080,550027000028,5500270,00028,"157 Bartlett Ave  Altoona, WI 54720-2361",157 Bartlett Ave,Altoona,WI,54720-2361,Eau Claire,41,Rural - Fringe,https://www.altoona.k12.wi.us,91,31,3,Eau Claire,44.79945057,-91.41077639,408421.9418,481640.321799999
42,Altoona High,Altoona,High School,Public school,09-12,09,12,Regular,No,No,10,0112,0040,S01120040,550027000026,5500270,00026,"711 7th St W  Altoona, WI 54720-1584",711 7th St W,Altoona,WI,54720-1584,Eau Claire,22,Suburb - Midsize,https://www.altoona.k12.wi.us,91,31,3,Eau Claire,44.8020267,-91.44184932,405969.4601,481969.604699999
43,Altoona Intermediate,Altoona,Elementary School,Public school,04-05,04,05,Regular,No,No,10,0112,0100,S01120100,550027002925,5500270,02925,"1903 Bartlett Ave  Altoona, WI 54720-1799",1903 Bartlett Ave,Altoona,WI,54720-1799,Eau Claire,22,Suburb - Midsize,https://www.altoona.k12.wi.us,91,31,3,Eau Claire,44.80328196,-91.43884842,406209.2591,482104.838500001
44,Altoona Middle,Altoona,Middle School,Public school,06-08,06,08,Regular,No,No,10,0112,0060,S01120060,550027000027,5500270,00027,"1903 Bartlett Ave  Altoona, WI 54720-1799",1903 Bartlett Ave,Altoona,WI,54720-1799,Eau Claire,22,Suburb - Midsize,https://www.altoona.k12.wi.us,91,31,3,Eau Claire,44.80327769,-91.4396036,406149.5272,482105.422
45,Amery High,Amery,High School,Public school,09-12,09,12,Regular,No,No,11,0119,0040,S01190040,550030000030,5500300,00030,"555 Minneapolis Ave S  Amery, WI 54001-1598",555 Minneapolis Ave S,Amery,WI,54001-1598,Polk,43,Rural - Remote,https://www.amerysd.k12.wi.us,75,25,7,Polk,45.30182571,-92.35025154,335739.8012,539167.352
46,Amery Intermediate,Amery,Elementary School,Public school,03-05,03,05,Regular,No,No,11,0119,0050,S01190050,550030000075,5500300,00075,"543 Minneapolis Ave S  Amery, WI 54001-1522",543 Minneapolis Ave S,Amery,WI,54001-1522,Polk,43,Rural - Remote,https://www.amerysd.k12.wi.us,75,25,7,Polk,45.30197289,-92.34556996,336107.3126,539173.0046
47,Amery Middle,Amery,Middle School,Public school,06-08,06,08,Regular,No,No,11,0119,0060,S01190060,550030000031,5500300,00031,"501 Minneapolis Ave S  Amery, WI 54001-1565",501 Minneapolis Ave S,Amery,WI,54001-1565,Polk,43,Rural - Remote,https://www.amerysd.k12.wi.us,75,25,7,Polk,45.30381907,-92.34568527,336104.244,539378.364800001
48,Amherst Elementary,Tomorrow River,Elementary School,Public school,PK-04,K4,04,Regular,No,No,5,0126,0020,S01260020,550033000032,5500330,00032,"357 N Main St  Amherst, WI 54406-9102",357 N Main St,Amherst,WI,54406-9102,Portage,42,Rural - Distant,https://www.amherst.k12.wi.us,71,24,3,Portage,44.45520124,-89.28539386,576853.0941,442681.373500001
49,Amherst High,Tomorrow River,High School,Public school,09-12,09,12,Regular,No,No,5,0126,0060,S01260060,550033000033,5500330,00033,"357 N Main St  Amherst, WI 54406-9102",357 N Main St,Amherst,WI,54406-9102,Portage,42,Rural - Distant,https://www.amherst.k12.wi.us,71,24,3,Portage,44.45520124,-89.28539386,576853.0941,442681.373500001
50,Amherst Middle,Tomorrow River,Middle School,Public school,05-08,05,08,Regular,No,No,5,0126,0080,S01260080,550033000034,5500330,00034,"357 N Main St  Amherst, WI 54406-9102",357 N Main St,Amherst,WI,54406-9102,Portage,42,Rural - Distant,https://www.amherst.k12.wi.us,71,24,3,Portage,44.45520124,-89.28539386,576853.0941,442681.373500001
51,Amy Belle Elementary,Germantown,Elementary School,Public school,PK-05,K4,05,Regular,No,No,1,2058,0020,S20580020,550516000549,5505160,00549,"3294 Willow Creek Rd  Colgate, WI 53017-9534",3294 Willow Creek Rd,Colgate,WI,53017-9534,Washington,41,Rural - Fringe,https://www.gsdwi.org,98,33,5,Washington,43.20797302,-88.2012102,666122.4705,305480.943299999
52,Andrew S Douglas Middle,Milwaukee,Middle School,Public school,06-08,06,08,Regular,No,No,1,3619,0215,S36190215,550960003123,5509600,03123,"3620 N 18th St  Milwaukee, WI 53206-2362",3620 N 18th St,Milwaukee,WI,53206-2362,Milwaukee,11,City - Large,https://www.milwaukee.k12.wi.us,10,4,4,Milwaukee,43.0824614,-87.93155223,688372.642,292048.476299999
53,Anthony Acres School,Mondovi,Combined Elementary/Secondary School,Public school,06-12,06,12,Regular,Yes,No,10,3668,0800,S36680800,550978003132,5509780,03132,"S12115 State Road 37  Mondovi, WI 54755-8122",S12115 State Road 37,Mondovi,WI,54755-8122,Eau Claire,42,Rural - Distant,https://www.mondovi.k12.wi.us/o/anthony-acres-school,93,31,3,Eau Claire,44.65274961,-91.60862827,392451.7875,465635.015699999
54,Antigo High,Antigo Unified,High School,Public school,08-12,08,12,Regular,No,No,9,0140,0070,S01400070,550036000037,5500360,00037,"1900 10th Ave  Antigo, WI 54409-1015",1900 10th Ave,Antigo,WI,54409-1015,Langlade,32,Town - Distant,https://www.antigo.k12.wi.us,35,12,7,Langlade,45.13389899,-89.17570995,584815.1634,518155.514599999
55,Antigo Middle,Antigo Unified,Combined Elementary/Secondary School,Public school,04-07,04,07,Regular,No,No,9,0140,0050,S01400050,550036000036,5500360,00036,"815 7th Ave  Antigo, WI 54409-1897",815 7th Ave,Antigo,WI,54409-1897,Langlade,32,Town - Distant,https://www.antigo.k12.wi.us,35,12,7,Langlade,45.13693059,-89.15532987,586414.1599,518508.838300001
56,Appleton Bilingual School,Appleton Area,Elementary School,Public school,KG-05,KG,05,Regular,Yes,No,6,0147,0155,S01470155,550039002880,5500390,02880,"912 N Oneida St  Appleton, WI 54911",912 N Oneida St,Appleton,WI,54911,Outagamie,13,City - Small,https://www.aasd.k12.wi.us/appletonbilingual,52,18,8,Outagamie,44.27001053,-88.40541106,647263.9859,423099.3717
57,Appleton Community 4K,Appleton Area,Elementary School,Public school,K4-K4,K4,K4,Regular,No,No,6,0147,0165,S01470165,550039002976,5500390,02976,"2701 N Oneida St  Appleton, WI 54911",2701 N Oneida St,Appleton,WI,54911,Outagamie,13,City - Small,https://www.aasd.k12.wi.us,52,18,8,Outagamie,44.28615675,-88.40672302,647124.4511,424890.769099999
58,Appleton Cooperative Educational Center,Appleton Area,Combined Elementary/Secondary School,Public school,09-12,09,12,Alternative,No,No,6,0147,0800,S01470800,550039002679,5500390,02679,"320 S Walnut St  Appleton, WI 54911",320 S Walnut St,Appleton,WI,54911,Outagamie,13,City - Small,https://www.aasd.k12.wi.us,52,18,8,Outagamie,44.25927979,-88.41006635,646915.5357,421900.2544
59,Appleton eSchool,Appleton Area,High School,Public school,07-12,07,12,Regular,Yes,Yes,6,0147,0440,S01470440,550039002549,5500390,02549,"2121 Emmers Dr  Appleton, WI 54915-3802",2121 Emmers Dr,Appleton,WI,54915-3802,Outagamie,13,City - Small,https://www.aasd.k12.wi.us,52,18,8,Outagamie,44.24728099,-88.37351529,649859.633,420624.670600001
60,Appleton Public Montessori,Appleton Area,Elementary School,Public school,K4-06,K4,06,Regular,Yes,No,6,0147,0145,S01470145,550039002583,5500390,02583,"1545 E Broadway Dr  Grand Chute, WI 54915",1545 E Broadway Dr,Grand Chute,WI,54915,Outagamie,41,Rural - Fringe,https://www.aasd.k12.wi.us,52,18,8,Outagamie,44.32572104,-88.38088077,649099.6012,429325.7401
61,Appleton Technical Academy,Appleton Area,High School,Public school,09-12,09,12,Vocational Education,Yes,No,6,0147,0490,S01470490,550039002964,5500390,02964,"610 N Badger Ave  Appleton, WI 54914-4198",610 N Badger Ave,Appleton,WI,54914-4198,Outagamie,13,City - Small,https://www.aasd.k12.wi.us,52,18,8,Outagamie,44.26850867,-88.42832838,645438.139,422897.2673
62,Appleview,Appleton Area,Combined Elementary/Secondary School,Public school,PK-12,K4,12,Special Education,No,No,6,0147,0820,S01470820,550039003021,5500390,03021,"120 E Harris St  Appleton, WI 54911-5403",120 E Harris St,Appleton,WI,54911-5403,Outagamie,13,City - Small,https://www.aasd.k12.wi.us,52,18,8,Outagamie,44.26525219,-88.40514515,647295.4795,422571.254799999
63,Arbor Vitae-Woodruff Elementary,Woodruff J1,Elementary School,Public school,PK-08,K4,08,Regular,No,No,9,6720,0020,S67200020,551716002227,5517160,02227,"11065 Old Highway 51 N  Arbor Vitae, WI 54568-9721",11065 Old Highway 51 N,Arbor Vitae,WI,54568-9721,Vilas,43,Rural - Remote,https://www.avwschool.org,34,12,7,Vilas,45.92680802,-89.69251465,543840.6724,605961.374500001
64,Arboretum Elementary,Waunakee Community,Elementary School,Public school,PK-04,KG,04,Regular,No,No,2,6181,0110,S61810110,551581002648,5515810,02648,"1350 Arboretum Dr  Waunakee, WI 53597",1350 Arboretum Dr,Waunakee,WI,53597,Dane,21,Suburb - Large,https://www.waunakee.k12.wi.us,81,27,2,Dane,43.17643575,-89.41793079,567307.5809,300572.4164
65,Arcadia Elementary,Arcadia,Elementary School,Public school,PK-04,K4,04,Regular,No,No,4,0154,0190,S01540190,550042003040,5500420,03040,"358 E River St  Arcadia, WI 54612-1344",358 E River St,Arcadia,WI,54612-1344,Trempealeau,42,Rural - Distant,https://www.arcadia.k12.wi.us,29,10,3,Trempealeau,44.2528434,-91.49629808,400545.8853,421044.813899999
66,Arcadia High,Arcadia,High School,Public school,09-12,09,12,Regular,No,No,4,0154,0040,S01540040,550042000068,5500420,00068,"756 Raider Dr  Arcadia, WI 54612-9025",756 Raider Dr,Arcadia,WI,54612-9025,Trempealeau,42,Rural - Distant,https://www.arcadia.k12.wi.us,29,10,3,Trempealeau,44.24184278,-91.48713619,401255.1773,419809.6424
67,Arcadia Middle,Arcadia,Middle School,Public school,05-08,05,08,Regular,No,No,4,0154,0290,S01540290,550042003041,5500420,03041,"725 Fairfield Ave  Arcadia, WI 54612-1908",725 Fairfield Ave,Arcadia,WI,54612-1908,Trempealeau,42,Rural - Distant,https://www.arcadia.k12.wi.us,29,10,3,Trempealeau,44.24184278,-91.48713619,401255.1773,419809.6424
68,Argyle Elementary,Argyle,Elementary School,Public school,PK-05,K4,05,Regular,No,No,3,0161,0020,S01610020,550045000069,5500450,00069,"14665 State Road 78  Argyle, WI 53504",14665 State Road 78,Argyle,WI,53504,Lafayette,42,Rural - Distant,https://www.argyle.k12.wi.us,51,17,2,Lafayette,42.70744276,-89.86889153,530736.9967,248335.9778
69,Argyle High,Argyle,High School,Public school,09-12,09,12,Regular,No,No,3,0161,0040,S01610040,550045000070,5500450,00070,"14665 State Road 78  Argyle, WI 53504",14665 State Road 78,Argyle,WI,53504,Lafayette,42,Rural - Distant,https://www.argyle.k12.wi.us,51,17,2,Lafayette,42.70744276,-89.86889153,530736.9967,248335.9778
70,Argyle Middle,Argyle,Middle School,Public school,06-08,06,08,Regular,No,No,3,0161,0250,S01610250,550045003073,5500450,03073,"14665 State Road 78  Argyle, WI 53504",14665 State Road 78,Argyle,WI,53504,Lafayette,42,Rural - Distant,https://www.argyle.k12.wi.us,51,17,2,Lafayette,42.70744276,-89.86889153,530736.9967,248335.9778
71,ARISE Virtual Academy,Janesville,Combined Elementary/Secondary School,Public school,KG-12,KG,12,Regular,Yes,Yes,2,2695,0860,S26950860,550702002991,5507020,02991,"450 N Crosby Ave  Janesville, WI 53548-3340",450 N Crosby Ave,Janesville,WI,53548-3340,Rock,13,City - Small,https://www.janesville.k12.wi.us,44,15,1,Rock,42.68546516,-89.05079515,597761.8819,246323.924000001
72,Arrowhead High,Arrowhead UHS,High School,Public school,09-12,09,12,Regular,No,No,1,2450,0020,S24500020,550618000678,5506180,00678,"700 North Ave  Hartland, WI 53029-1143",700 North Ave,Hartland,WI,53029-1143,Waukesha,21,Suburb - Large,https://www.arrowheadschools.org,99,33,5,Waukesha,43.1135579,-88.3472919,654462.43,294750.9311
73,Asa Clark Middle,Pewaukee,Middle School,Public school,06-08,06,08,Regular,No,No,1,4312,0100,S43120100,551164001538,5511640,01538,"472 Lake St  Pewaukee, WI 53072-3630",472 Lake St,Pewaukee,WI,53072-3630,Waukesha,21,Suburb - Large,https://www.pewaukeeschools.org,15,5,5,Waukesha,43.07379981,-88.26200261,661493.1383,290476.0229
74,Ashland High,Ashland,High School,Public school,09-12,09,12,Regular,No,No,12,0170,0020,S01700020,550051000073,5500510,00073,"1900 Beaser Ave  Ashland, WI 54806-3603",1900 Beaser Ave,Ashland,WI,54806-3603,Ashland,33,Town - Remote,https://www.ashland.k12.wi.us,73,25,7,Ashland,46.57114356,-90.88393351,452262.7744,677888.118799999
75,Ashland Middle,Ashland,Middle School,Public school,06-08,06,08,Regular,No,No,12,0170,0030,S01700030,550051000074,5500510,00074,"203 11th St E  Ashland, WI 54806-3245",203 11th St E,Ashland,WI,54806-3245,Ashland,33,Town - Remote,https://www.ashland.k12.wi.us,73,25,7,Ashland,46.58494645,-90.87500641,452963.8829,679414.2348
76,Ashwaubenon High,Ashwaubenon,High School,Public school,09-12,09,12,Regular,No,No,7,0182,0020,S01820020,550054000081,5500540,00081,"2391 S Ridge Rd  Green Bay, WI 54304-5093",2391 S Ridge Rd,Green Bay,WI,54304-5093,Brown,22,Suburb - Midsize,https://www.ashwaubenon.k12.wi.us,89,30,8,Brown,44.48863293,-88.07497701,673065.287,447948.8123
